Key,Type,Desc,English (United States),Chinese
Buttons/+ CONNECT TO PART TO MONITOR,Text,,CONNECT TO PART TO MONITOR,連接至部件連接至監視器
Buttons/+ NEW CONNECTION TO PART,Text,,NEW CONNECTION TO PART,新建部件連接
Buttons/+ NEW PIPE CONNECTION,Text,,NEW PIPE CONNECTION,新建管道連接
Buttons/ACCEPT CONTRACT,Text,,ACCEPT CONTRACT,接受合約
Buttons/BACK,Text,,BACK,返回
Buttons/CANCEL,Text,,CANCEL,取消
Buttons/CONTINUE,Text,,CONTINUE,繼續
Buttons/CONTRACTS,Text,,CONTRACTS,合約
Buttons/DELETE,Text,,DELETE,刪除
Buttons/EDIT,Text,,EDIT,編輯
Buttons/EDIT KITCHEN,Text,,EDIT KITCHEN,編輯廚房
Buttons/EXIT TO MAIN MENU,Text,,EXIT TO MAIN MENU,退出至主菜單
Buttons/FORFEIT,Text,,FORFEIT,放棄
Buttons/GO TO THE STORE,Text,,Go to the store,前往商店
Buttons/LANGUAGE REFERENCE,Text,,LANGUAGE REFERENCE,語言偏好
Buttons/LOAD,Text,,LOAD,加載
Buttons/MACHINES,Text,,MACHINES,機器
Buttons/MAIN MENU,Text,,MAIN MENU,主菜單
Buttons/MY BUSINESS,Text,,MY BUSINESS,我的業務
Buttons/NEW,Text,,NEW,新
Buttons/NO,Text,,NO,否
Buttons/OKAY,Text,,OKAY,好的
Buttons/OPEN CODE EDITOR,Text,,OPEN CODE EDITOR,打開代碼編輯器
Buttons/PURCHASE,Text,,PURCHASE,購買
Buttons/QUIT,Text,,QUIT,退出
Buttons/RESET KITCHEN,Text,,RESET KITCHEN,重置廚房
Buttons/RETRY,Text,,RETRY,重試
Buttons/SAVE,Text,,SAVE,保存
Buttons/SIMULATE ORDER,Text,,SIMULATE ORDER,模擬訂單
Buttons/START,Text,,START,開始
Buttons/STOP,Text,,STOP,停止
Buttons/SUBMIT DESIGN,Text,,SUBMIT DESIGN,提交設計
Buttons/SWITCH TO CODE,Text,,SWITCH TO CODE,切換至代碼
Buttons/SWITCH TO VISUAL LOGIC EDITOR,Text,,SWITCH TO VISUAL LOGIC EDITOR,切換至視覺邏輯編輯器
Buttons/YES,Text,,YES,是
Contracts/Cash,Text,,Cash,現金
Contracts/Client,Text,,Client,客戶
Contracts/ClientName01,Text,,The Feedbag,悅來餐廳
Contracts/ClientName02,Text,,Heartburns,心火快餐廳
Contracts/ClientName03,Text,,Dine 'N Dash,好再來快餐廳
Contracts/ClientName04,Text,,The Happy Gorger,開心美食家
Contracts/ClientName05,Text,,Salad Bowl,沙拉小廚
Contracts/ClientName06,Text,,Cheesy Does It,奶酪亂鬥屋
Contracts/ClientName07,Text,,Calorie Cabin,卡路裡小屋
Contracts/ClientName08,Text,,Lots O' Flavour,美味空間
Contracts/ClientName09,Text,,Fresh & Tasty,清新美食客餐廳
Contracts/ClientName10,Text,,Big Taste Inc.,好味道公司
Contracts/Completed Contracts,Text,,Completed Contracts,完成的合約
Contracts/Contract Overview,Text,,Contract Overview,合約概覽
Contracts/DifficultyEasy,Text,,Difficulty: Easy,難度：簡單
Contracts/DifficultyHard,Text,,Difficulty: Hard,難度：困難
Contracts/DifficultyMedium,Text,,Difficulty: Medium,難度：中等
Contracts/Easy,Text,,Easy,簡單
Contracts/Hard,Text,,Hard,困難
Contracts/In Progress,Text,,In Progress Contracts,進行中的合約
Contracts/Info Deposit,Text,,Advance Payment,預付定金
Contracts/Info Difficulty,Text,,Selected Difficulty,選擇的難度
Contracts/Info Efficiency Bonus,Text,,Efficiency Bonus,效率獎勵
Contracts/Info Efficiency Target,Text,,Efficiency Target,效率目標
Contracts/Info Net Result,Text,,Net Result,淨結果
Contracts/Info Payment,Text,,Payment,付款
Contracts/Info Reputation Change,Text,,Reputation Change,聲望變化
Contracts/MachineCostToUnlock,Text,,Cost to Unlock,解鎖花費
Contracts/MachinePowerUsage,Text,,Power Usage,電力消耗
Contracts/MachineUnitCost,Text,,Unit Cost,單位花費
Contracts/Machines Help Text,Text,,Use your funds to unlock better machinery that can be used in your kitchen designs.,使用資金解鎖更先進的機器，改善你的廚房設計。
Contracts/Machines Unlocked,Text,,Machines Unlocked: {[NUMBER]}/39,已解鎖機器：{[NUMBER]}/39
Contracts/Medium,Text,,Medium,中等
Contracts/My Business,Text,,My Business,我的業務
Contracts/New,Text,,New!,新！
Contracts/No Active,Text,,There are no active contracts. Check the Inbox tab to find new business proposals.,當前沒有進行中的合約。請查看收件箱標籤頁，尋找新的商業計劃書。
Contracts/No Incoming,Text,,There are no new business proposals. Fulfill or forfeit one of your active contracts first.,當前沒有新的商業計劃書。請先完成或放棄當前進行中的合約。
Contracts/Objective DeliverDishes,Text,, Deliver {[NUMBER]} dishes,完成{[NUMBER]}份菜肴的配送
Contracts/Objective DeliverDishesCraze,Text,, Deliver {[NUMBER]} dishes during a {[DISH]} Craze,在{[DISH]}狂熱中，完成{[NUMBER]}份菜肴的配送
Contracts/Objective DeliverDishesOfType,Text,, Deliver {[NUMBER]} dishes of type {[DISH]},完成{[NUMBER]}份{[DISH]}類菜肴的配送
Contracts/Objective DeliverDishesRushHour,Text,, Deliver {[NUMBER]} dishes during a Rush Hour,在一個高峰時段中，完成{[NUMBER]}份菜肴的配送
Contracts/Objective FoodCritic,Text,, Deliver a meal to the Food Critic, 為美食評論家配送一餐
Contracts/Objective Ingredients,Text,, Use {[NUMBER]} ingredients or fewer,使用的食材不超過{[NUMBER]}份
Contracts/Objective NoDisasters,Text,, Make sure no disasters of any kind occur,確保不會發生任何災難
Contracts/Objective Power,Text,, Use {[NUMBER]} Wh of electrical energy or less,電力消耗不超過{[NUMBER]}瓦時
Contracts/Payment,Text,,Payment: $ {[PAYMENT]},付款：${[PAYMENT]}
Contracts/Reputation,Text,,Reputation,聲望
Contracts/Required Reputation,Text,,Required Reputation,所需聲望
Contracts/Research New Machines,Text,,Research New Machines,研究新機器
Contracts/Running DeliverDishes,Text,,Dishes Delivered,配送的菜肴
Contracts/Running DeliverDishesCraze,Text,,Craze Dishes Delivered,配送的狂熱菜肴
Contracts/Running DeliverDishesOfType,Text,,Dishes Delivered ({[DISH]}),配送的菜肴（{[DISH]}）
Contracts/Running DeliverDishesRushHour,Text,,Rush Hour Dishes Delivered,在高峰時段的配送菜肴
Contracts/Running FoodCritic,Text,,Food Critic Orders,美食評論家訂單
Contracts/Running Ingredients,Text,,Ingredients Used,使用的食材
Contracts/Running NoDisasters,Text,,Disasters Caused,造成的災難
Contracts/Running Power,Text,,Energy Used,消耗的電力
Contracts/Select Difficulty,Text,,Select Difficulty,選擇難度
